GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pan_gene_symbol,product,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score
SAUSA300_RS00055,315.3504240041063,-1.7817156125977394,0.14021147272538645,-5.575261406238716,2.471584437836095e-8,2.592063105773625e-7,-,branched-chain amino acid ABC transporter permease,Metabolism,Transport and binding proteins,"Amino acids, peptides and amines",azaleucine resistance protein AzlC,TIGR00346,89.7
SAUSA300_RS00060,272.1975687853322,-2.2095641636934324,0.15803963603969107,-7.653549413323471,1.9550646417463175e-14,2.612109197145993e-13,-,membrane protein,Genetic information processing,Protein fate,Protein and peptide secretion and trafficking,type II secretion system protein F,TIGR02120,9.3
SAUSA300_RS00130,663.3224457531649,1.4155467713766854,0.12731708808706294,3.2638727261223806,0.0010990052245573865,0.007920416963189441,adsA,"multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase",Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Pyridine nucleotides; Other,NAD nucleotidase,TIGR01530,134.4
SAUSA300_RS00280,1250.369723532237,-2.9954787506761194,0.2067291683481204,-9.652623123389363,4.7914136664640635e-22,8.103859183857716e-21,adhC,alcohol dehydrogenase,NA,Unknown function,Enzymes of unknown specificity,"NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family",TIGR03989,332.2
SAUSA300_RS00550,435.7129142419696,-1.5539194977944326,0.11841515513768744,-4.677775383990011,2.9000396150218518e-6,2.728461708538244e-5,norC,MFS transporter,Cellular processes; Metabolism,Cellular processes; Transport and binding proteins,Toxin production and resistance; Other,"drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family",TIGR00711,133.7
SAUSA300_RS00560,520.6734999280575,-1.4329927359380807,0.11121096685965862,-3.893435586118866,9.883445457973842e-5,8.077922181573033e-4,-,oleate hydratase,NA,NA,NA,"9,9'-di-cis-zeta-carotene desaturase",TIGR02732,15.7
SAUSA300_RS00585,29811.221341614968,6.203510848588392,0.30238872026881414,17.208019015929672,2.3120649735558102e-66,8.90145014818987e-65,spa,peptidoglycan-binding protein LysM,NA,NA,NA,"gram-positive signal peptide, YSIRK family",TIGR01168,34.6
SAUSA300_RS00605,451.587116018082,2.43211687689417,0.12948092886351625,11.060446426081334,1.951239132872705e-28,3.7073543524581396e-27,sirA,iron ABC transporter substrate-binding protein,NA,NA,NA,"heme ABC transporter, heme-binding protein isdE",TIGR03659,61.7
SAUSA300_RS00610,28.15875704038022,1.989779380369791,0.301259967748403,3.2854659972492737,0.0010181383037182641,0.007355735004147261,sbnA,siderophore biosynthesis protein SbnA,Cellular processes,Cellular processes,Biosynthesis of natural products,"2,3-diaminopropionate biosynthesis protein SbnA",TIGR03945,447.8
SAUSA300_RS00705,892.5032008049861,2.5791760869019815,0.1342869203841937,11.759716302853416,6.294543814250427e-32,1.2970306479223062e-30,sodM,Superoxide dismutase [Mn/Fe] 2,NA,NA,NA,NA,NA,NA
